market,update_time,date,commodity_name,commodity_code,commodity_price,recent_future_code,recent_future_price,recent_cf_basis,recent_cf_basis_percent,main_future_code,main_future_price,main_cf_basis,main_cf_basis_percent,categoryID
上海期货交易所,2023-10-23 11:33:55.930227+00:00,2023-10-20,铜,CU,66621.67,CU2311,66460.0,161.67,0.0024,CU2312,66360.0,261.67,0.0039,2023-10-20
上海期货交易所,2023-10-23 11:34:16.651314+00:00,2023-10-19,铜,CU,66566.67,CU2311,66490.0,76.67,0.0012,CU2312,66420.0,146.67,0.0022,2023-10-19
上海期货交易所,2023-10-23 11:38:53.088024+00:00,2023-10-18,铜,CU,66770.0,CU2311,66490.0,280.0,0.0042,CU2311,66490.0,280.0,0.0042,2023-10-18
上海期货交易所,2023-10-23 11:39:04.958272+00:00,2023-10-17,铜,CU,66226.67,CU2311,66170.0,56.67,0.0009,CU2311,66170.0,56.67,0.0009,2023-10-17
上海期货交易所,2023-10-23 11:39:48.090511+00:00,2023-10-16,铜,CU,66466.67,CU2310,66330.0,136.67,0.0021,CU2311,66310.0,156.67,0.0024,2023-10-16
上海期货交易所,2023-10-23 11:40:36.297535+00:00,2023-10-12,铜,CU,66731.67,CU2310,66700.0,31.67,0.0005,CU2311,66700.0,31.67,0.0005,2023-10-12
上海期货交易所,2023-10-23 11:40:45.940842+00:00,2023-10-11,铜,CU,66941.67,CU2310,66770.0,171.67,0.0026,CU2311,66630.0,311.67,0.0047,2023-10-11
上海期货交易所,2023-10-23 11:40:55.235219+00:00,2023-10-10,铜,CU,67290.0,CU2310,67000.0,290.0,0.0043,CU2311,66900.0,390.0,0.0058,2023-10-10
上海期货交易所,2023-10-23 11:41:09.036227+00:00,2023-10-09,铜,CU,67603.33,CU2310,67460.0,143.33,0.0021,CU2311,67340.0,263.33,0.0039,2023-10-09
上海期货交易所,2023-10-23 12:06:30.409642+00:00,2015-01-05,铜,CU,46125.0,CU1501,46100.0,25.0,0.0005,CU1503,45250.0,875.0,0.019,
上海期货交易所,2023-10-23 12:06:30.629680+00:00,2015-01-06,铜,CU,45735.0,CU1501,45560.0,175.0,0.0038,CU1503,44570.0,1165.0,0.0255,
上海期货交易所,2023-10-23 12:06:30.817509+00:00,2015-01-07,铜,CU,45645.0,CU1501,45530.0,115.0,0.0025,CU1503,44660.0,985.0,0.0216,
上海期货交易所,2023-10-23 12:06:30.997916+00:00,2015-01-08,铜,CU,45615.0,CU1501,45580.0,35.0,0.0008,CU1503,44740.0,875.0,0.0192,
上海期货交易所,2023-10-23 12:06:31.182084+00:00,2015-01-09,铜,CU,45275.0,CU1501,45360.0,-85.0,-0.0019,CU1503,44550.0,725.0,0.016,
上海期货交易所,2023-10-23 12:06:31.461057+00:00,2015-01-12,铜,CU,44950.0,CU1501,44980.0,-30.0,-0.0007,CU1503,44140.0,810.0,0.018,
上海期货交易所,2023-10-23 12:06:31.647734+00:00,2015-01-13,铜,CU,44345.0,CU1501,44290.0,55.0,0.0012,CU1503,43360.0,985.0,0.0222,
上海期货交易所,2023-10-23 12:06:31.831040+00:00,2015-01-14,铜,CU,41740.0,CU1501,42540.0,-800.0,-0.0192,CU1503,42150.0,-410.0,-0.0098,
上海期货交易所,2023-10-23 12:06:32.029352+00:00,2015-01-15,铜,CU,41585.0,CU1501,40870.0,715.0,0.0172,CU1503,40520.0,1065.0,0.0256,
上海期货交易所,2023-10-23 12:06:32.291773+00:00,2015-01-16,铜,CU,41215.0,CU1502,41270.0,-55.0,-0.0013,CU1503,41070.0,145.0,0.0035,
上海期货交易所,2023-10-23 12:06:32.589641+00:00,2015-01-19,铜,CU,41910.0,CU1502,41760.0,150.0,0.0036,CU1503,41400.0,510.0,0.0122,
上海期货交易所,2023-10-23 12:06:32.764056+00:00,2015-01-20,铜,CU,41760.0,CU1502,41560.0,200.0,0.0048,CU1503,41340.0,420.0,0.0101,
上海期货交易所,2023-10-23 12:06:32.953257+00:00,2015-01-21,铜,CU,41695.0,CU1502,41530.0,165.0,0.004,CU1503,41320.0,375.0,0.009,
上海期货交易所,2023-10-23 12:06:33.130669+00:00,2015-01-22,铜,CU,41955.0,CU1502,41820.0,135.0,0.0032,CU1504,41410.0,545.0,0.013,
上海期货交易所,2023-10-23 12:06:33.321049+00:00,2015-01-23,铜,CU,41460.0,CU1502,41350.0,110.0,0.0027,CU1504,40910.0,550.0,0.0133,
上海期货交易所,2023-10-23 12:06:33.578228+00:00,2015-01-26,铜,CU,40350.0,CU1502,40030.0,320.0,0.0079,CU1504,39660.0,690.0,0.0171,
上海期货交易所,2023-10-23 12:06:33.812602+00:00,2015-01-27,铜,CU,40680.0,CU1502,40660.0,20.0,0.0005,CU1504,40210.0,470.0,0.0116,
上海期货交易所,2023-10-23 12:06:33.996993+00:00,2015-01-28,铜,CU,40070.0,CU1502,40170.0,-100.0,-0.0025,CU1504,39690.0,380.0,0.0095,
上海期货交易所,2023-10-23 12:06:34.165724+00:00,2015-01-29,铜,CU,40150.0,CU1502,40030.0,120.0,0.003,CU1504,39520.0,630.0,0.0157,
上海期货交易所,2023-10-23 12:06:34.347630+00:00,2015-01-30,铜,CU,39950.0,CU1502,39730.0,220.0,0.0055,CU1504,39210.0,740.0,0.0185,
上海期货交易所,2023-10-23 12:06:34.630792+00:00,2015-02-02,铜,CU,40450.0,CU1502,40410.0,40.0,0.001,CU1504,39830.0,620.0,0.0153,
上海期货交易所,2023-10-23 12:06:34.797222+00:00,2015-02-03,铜,CU,40760.0,CU1502,40800.0,-40.0,-0.001,CU1504,40440.0,320.0,0.0079,
上海期货交易所,2023-10-23 12:06:34.998405+00:00,2015-02-04,铜,CU,41790.0,CU1502,41580.0,210.0,0.005,CU1504,41260.0,530.0,0.0127,
上海期货交易所,2023-10-23 12:06:35.182675+00:00,2015-02-05,铜,CU,41295.0,CU1502,41300.0,-5.0,-0.0001,CU1504,41190.0,105.0,0.0025,
上海期货交易所,2023-10-23 12:06:35.412015+00:00,2015-02-06,铜,CU,41700.0,CU1502,41670.0,30.0,0.0007,CU1504,41320.0,380.0,0.0091,
上海期货交易所,2023-10-23 12:06:35.714682+00:00,2015-03-10,铜,CU,42585.0,CU1503,42520.0,65.0,0.0015,CU1505,42510.0,75.0,0.0018,
上海期货交易所,2023-10-23 12:06:35.882238+00:00,2015-03-11,铜,CU,42210.0,CU1503,42210.0,0.0,0.0,CU1505,42100.0,110.0,0.0026,
上海期货交易所,2023-10-23 12:06:36.063359+00:00,2015-03-12,铜,CU,41985.0,CU1503,42090.0,-105.0,-0.0025,CU1505,42090.0,-105.0,-0.0025,
上海期货交易所,2023-10-23 12:06:36.248877+00:00,2015-03-13,铜,CU,41765.0,CU1503,42640.0,-875.0,-0.021,CU1505,42690.0,-925.0,-0.0221,
上海期货交易所,2023-10-23 12:06:36.528620+00:00,2015-03-16,铜,CU,42635.0,CU1503,42460.0,175.0,0.0041,CU1505,42620.0,15.0,0.0004,
上海期货交易所,2023-10-23 12:06:36.716361+00:00,2015-03-17,铜,CU,42520.0,CU1504,42540.0,-20.0,-0.0005,CU1505,42650.0,-130.0,-0.0031,
上海期货交易所,2023-10-23 12:06:36.992264+00:00,2015-03-18,铜,CU,42275.0,CU1504,42130.0,145.0,0.0034,CU1505,42120.0,155.0,0.0037,
上海期货交易所,2023-10-23 12:06:37.184478+00:00,2015-03-19,铜,CU,41675.0,CU1504,41680.0,-5.0,-0.0001,CU1505,41510.0,165.0,0.004,
上海期货交易所,2023-10-23 12:06:37.392095+00:00,2015-03-20,铜,CU,42270.0,CU1504,42180.0,90.0,0.0021,CU1505,42130.0,140.0,0.0033,
上海期货交易所,2023-10-23 12:06:37.658901+00:00,2015-03-23,铜,CU,43410.0,CU1504,43440.0,-30.0,-0.0007,CU1506,43300.0,110.0,0.0025,
上海期货交易所,2023-10-23 12:06:37.833022+00:00,2015-03-24,铜,CU,43685.0,CU1504,43920.0,-235.0,-0.0054,CU1506,43910.0,-225.0,-0.0052,
上海期货交易所,2023-10-23 12:06:38.015957+00:00,2015-03-25,铜,CU,43485.0,CU1504,43660.0,-175.0,-0.004,CU1506,43670.0,-185.0,-0.0043,
上海期货交易所,2023-10-23 12:06:38.199269+00:00,2015-03-26,铜,CU,43760.0,CU1504,43910.0,-150.0,-0.0034,CU1506,43820.0,-60.0,-0.0014,
上海期货交易所,2023-10-23 12:06:38.380146+00:00,2015-03-27,铜,CU,43520.0,CU1504,43820.0,-300.0,-0.0069,CU1506,43870.0,-350.0,-0.008,
上海期货交易所,2023-10-23 12:06:38.691399+00:00,2015-03-30,铜,CU,43740.0,CU1504,43740.0,0.0,0.0,CU1506,43620.0,120.0,0.0027,
上海期货交易所,2023-10-23 12:06:38.898763+00:00,2015-03-31,铜,CU,43625.0,CU1504,43760.0,-135.0,-0.0031,CU1506,43770.0,-145.0,-0.0033,
上海期货交易所,2023-10-23 12:06:39.082553+00:00,2015-04-01,铜,CU,43420.0,CU1504,43440.0,-20.0,-0.0005,CU1506,43380.0,40.0,0.0009,
上海期货交易所,2023-10-23 12:06:39.282517+00:00,2015-04-02,铜,CU,43530.0,CU1504,43450.0,80.0,0.0018,CU1506,43350.0,180.0,0.0041,
上海期货交易所,2023-10-23 12:06:39.466429+00:00,2015-04-03,铜,CU,43560.0,CU1504,43450.0,110.0,0.0025,CU1506,43330.0,230.0,0.0053,
上海期货交易所,2023-10-23 12:06:39.805854+00:00,2015-04-07,铜,CU,43610.0,CU1504,43550.0,60.0,0.0014,CU1506,43450.0,160.0,0.0037,
上海期货交易所,2023-10-23 12:06:40.014930+00:00,2015-04-08,铜,CU,43650.0,CU1504,43570.0,80.0,0.0018,CU1506,43580.0,70.0,0.0016,
上海期货交易所,2023-10-23 12:06:40.281649+00:00,2015-04-09,铜,CU,43480.0,CU1504,43350.0,130.0,0.003,CU1506,43280.0,200.0,0.0046,
上海期货交易所,2023-10-23 12:06:40.466875+00:00,2015-04-10,铜,CU,43640.0,CU1504,43530.0,110.0,0.0025,CU1506,43380.0,260.0,0.006,
上海期货交易所,2023-10-23 12:06:40.745285+00:00,2015-04-13,铜,CU,43760.0,CU1504,43690.0,70.0,0.0016,CU1506,43670.0,90.0,0.0021,
上海期货交易所,2023-10-23 12:06:40.963262+00:00,2015-04-14,铜,CU,43565.0,CU1504,43380.0,185.0,0.0042,CU1506,43160.0,405.0,0.0093,
上海期货交易所,2023-10-23 12:06:41.159179+00:00,2015-04-15,铜,CU,43180.0,CU1504,43080.0,100.0,0.0023,CU1506,42890.0,290.0,0.0067,
上海期货交易所,2023-10-23 12:06:41.355861+00:00,2015-04-16,铜,CU,43550.0,CU1505,43350.0,200.0,0.0046,CU1506,43140.0,410.0,0.0094,
上海期货交易所,2023-10-23 12:06:41.552023+00:00,2015-04-17,铜,CU,43890.0,CU1505,43810.0,80.0,0.0018,CU1506,43750.0,140.0,0.0032,
上海期货交易所,2023-10-23 12:06:41.890207+00:00,2015-04-20,铜,CU,44100.0,CU1505,43920.0,180.0,0.0041,CU1506,43800.0,300.0,0.0068,
上海期货交易所,2023-10-23 12:06:42.084879+00:00,2015-04-21,铜,CU,43680.0,CU1505,43460.0,220.0,0.005,CU1506,43360.0,320.0,0.0073,
上海期货交易所,2023-10-23 12:06:42.292284+00:00,2015-04-22,铜,CU,43540.0,CU1505,43350.0,190.0,0.0044,CU1506,43250.0,290.0,0.0067,
上海期货交易所,2023-10-23 12:06:42.493575+00:00,2015-04-23,铜,CU,43510.0,CU1505,43160.0,350.0,0.008,CU1506,43080.0,430.0,0.0099,
上海期货交易所,2023-10-23 12:06:42.690147+00:00,2015-04-24,铜,CU,43740.0,CU1505,43420.0,320.0,0.0073,CU1507,43150.0,590.0,0.0135,
