date,future_code,close,open,high,low,deal,categoryID
23/10/2023,CU2312,1663,1689,1699,1642,775,23/10/2023
20/10/2023,CU2312,1684,1719,1719,1666,781,23/10/2023
19/10/2023,CU2312,1704,1698,1715,1660,1225,23/10/2023
18/10/2023,CU2312,1720,1740,1771,1710,981,23/10/2023
17/10/2023,CU2312,1768,1791,1796,1748,911,23/10/2023
16/10/2023,CU2312,1776,1712,1778,1704,1489,23/10/2023
13/10/2023,CU2312,1712,1735,1735,1693,1448,23/10/2023
12/10/2023,CU2312,1735,1700,1737,1695,1750,23/10/2023
11/10/2023,CU2312,1695,1737,1750,1672,1411,23/10/2023
10/10/2023,CU2312,1721,1838,1841,1715,2071,23/10/2023
9/10/2023,CU2312,1844,1836,1871,1814,555,23/10/2023
28/9/2023,CU2312,1836,1782,1862,1782,1782,23/10/2023
27/9/2023,CU2312,1776,1775,1798,1768,993,23/10/2023
26/9/2023,CU2312,1769,1829,1829,1753,2720,23/10/2023
25/9/2023,CU2312,1823,1863,1879,1806,1579,23/10/2023
22/9/2023,CU2312,1850,1834,1866,1805,2253,23/10/2023
21/9/2023,CU2312,1830,1914,1915,1825,2812,23/10/2023
20/9/2023,CU2312,1914,1864,1917,1864,2015,23/10/2023
19/9/2023,CU2312,1861,1876,1922,1861,1373,23/10/2023
18/9/2023,CU2312,1876,1808,1882,1800,1089,23/10/2023
15/9/2023,CU2312,1808,1812.5,1815,1783.5,1047,23/10/2023
14/9/2023,CU2312,1798.5,1761,1799,1730,1697,23/10/2023
13/9/2023,CU2312,1745,1787.5,1788,1718,1954,23/10/2023
12/9/2023,CU2312,1774.5,1738.5,1780,1732.5,967,23/10/2023
11/9/2023,CU2312,1721.5,1650.5,1723,1620.5,1275,23/10/2023
8/9/2023,CU2312,1635.5,1696,1706,1629,1355,23/10/2023
7/9/2023,CU2312,1690.5,1729,1750,1647.5,2052,23/10/2023
6/9/2023,CU2312,1721,1701,1727.5,1684.5,1104,23/10/2023
5/9/2023,CU2312,1713,1676,1748,1662,2784,23/10/2023
4/9/2023,CU2312,1676.5,1644,1718.5,1631.5,4046,23/10/2023
23/10/2023,CU2312,1663,1689,1699,1642,775,23/10/2023
20/10/2023,CU2312,1684,1719,1719,1666,781,23/10/2023
