date,future_code,close,open,high,low,deal,categoryID
2023-10-23,JM2312,1663.0,1689.0,1699.0,1642.0,775,2023-10-23
2023-10-20,JM2312,1684.0,1719.0,1719.0,1666.0,781,2023-10-23
2023-10-19,JM2312,1704.0,1698.0,1715.0,1660.0,1225,2023-10-23
2023-10-18,JM2312,1720.0,1740.0,1771.0,1710.0,981,2023-10-23
2023-10-17,JM2312,1768.0,1791.0,1796.0,1748.0,911,2023-10-23
2023-10-16,JM2312,1776.0,1712.0,1778.0,1704.0,1489,2023-10-23
2023-10-13,JM2312,1712.0,1735.0,1735.0,1693.0,1448,2023-10-23
2023-10-12,JM2312,1735.0,1700.0,1737.0,1695.0,1750,2023-10-23
2023-10-11,JM2312,1695.0,1737.0,1750.0,1672.0,1411,2023-10-23
2023-10-10,JM2312,1721.0,1838.0,1841.0,1715.0,2071,2023-10-23
2023-10-09,JM2312,1844.0,1836.0,1871.0,1814.0,555,2023-10-23
2023-09-28,JM2312,1836.0,1782.0,1862.0,1782.0,1782,2023-10-23
2023-09-27,JM2312,1776.0,1775.0,1798.0,1768.0,993,2023-10-23
2023-09-26,JM2312,1769.0,1829.0,1829.0,1753.0,2720,2023-10-23
2023-09-25,JM2312,1823.0,1863.0,1879.0,1806.0,1579,2023-10-23
2023-09-22,JM2312,1850.0,1834.0,1866.0,1805.0,2253,2023-10-23
2023-09-21,JM2312,1830.0,1914.0,1915.0,1825.0,2812,2023-10-23
2023-09-20,JM2312,1914.0,1864.0,1917.0,1864.0,2015,2023-10-23
2023-09-19,JM2312,1861.0,1876.0,1922.0,1861.0,1373,2023-10-23
2023-09-18,JM2312,1876.0,1808.0,1882.0,1800.0,1089,2023-10-23
2023-09-15,JM2312,1808.0,1812.5,1815.0,1783.5,1047,2023-10-23
2023-09-14,JM2312,1798.5,1761.0,1799.0,1730.0,1697,2023-10-23
2023-09-13,JM2312,1745.0,1787.5,1788.0,1718.0,1954,2023-10-23
2023-09-12,JM2312,1774.5,1738.5,1780.0,1732.5,967,2023-10-23
2023-09-11,JM2312,1721.5,1650.5,1723.0,1620.5,1275,2023-10-23
2023-09-08,JM2312,1635.5,1696.0,1706.0,1629.0,1355,2023-10-23
2023-09-07,JM2312,1690.5,1729.0,1750.0,1647.5,2052,2023-10-23
2023-09-06,JM2312,1721.0,1701.0,1727.5,1684.5,1104,2023-10-23
2023-09-05,JM2312,1713.0,1676.0,1748.0,1662.0,2784,2023-10-23
2023-09-04,JM2312,1676.5,1644.0,1718.5,1631.5,4046,2023-10-23
2023-10-23,JM2312,1663.0,1689.0,1699.0,1642.0,775,2023-10-23
2023-10-20,JM2312,1684.0,1719.0,1719.0,1666.0,781,2023-10-23
2023-10-19,JM2312,1704.0,1698.0,1715.0,1660.0,1225,2023-10-23
2023-10-18,JM2312,1720.0,1740.0,1771.0,1710.0,981,2023-10-23
2023-10-17,JM2312,1768.0,1791.0,1796.0,1748.0,911,2023-10-23
2023-10-16,JM2312,1776.0,1712.0,1778.0,1704.0,1489,2023-10-23
2023-10-13,JM2312,1712.0,1735.0,1735.0,1693.0,1448,2023-10-23
2023-10-12,JM2312,1735.0,1700.0,1737.0,1695.0,1750,2023-10-23
2023-10-11,JM2312,1695.0,1737.0,1750.0,1672.0,1411,2023-10-23
2023-10-10,JM2312,1721.0,1838.0,1841.0,1715.0,2071,2023-10-23
2023-10-09,JM2312,1844.0,1836.0,1871.0,1814.0,555,2023-10-23
2023-09-28,JM2312,1836.0,1782.0,1862.0,1782.0,1782,2023-10-23
2023-09-27,JM2312,1776.0,1775.0,1798.0,1768.0,993,2023-10-23
2023-09-26,JM2312,1769.0,1829.0,1829.0,1753.0,2720,2023-10-23
2023-09-25,JM2312,1823.0,1863.0,1879.0,1806.0,1579,2023-10-23
2023-09-22,JM2312,1850.0,1834.0,1866.0,1805.0,2253,2023-10-23
2023-09-21,JM2312,1830.0,1914.0,1915.0,1825.0,2812,2023-10-23
2023-09-20,JM2312,1914.0,1864.0,1917.0,1864.0,2015,2023-10-23
2023-09-19,JM2312,1861.0,1876.0,1922.0,1861.0,1373,2023-10-23
2023-09-18,JM2312,1876.0,1808.0,1882.0,1800.0,1089,2023-10-23
2023-09-15,JM2312,1808.0,1812.5,1815.0,1783.5,1047,2023-10-23
2023-09-14,JM2312,1798.5,1761.0,1799.0,1730.0,1697,2023-10-23
2023-09-13,JM2312,1745.0,1787.5,1788.0,1718.0,1954,2023-10-23
2023-09-12,JM2312,1774.5,1738.5,1780.0,1732.5,967,2023-10-23
2023-09-11,JM2312,1721.5,1650.5,1723.0,1620.5,1275,2023-10-23
2023-09-08,JM2312,1635.5,1696.0,1706.0,1629.0,1355,2023-10-23
2023-09-07,JM2312,1690.5,1729.0,1750.0,1647.5,2052,2023-10-23
2023-09-06,JM2312,1721.0,1701.0,1727.5,1684.5,1104,2023-10-23
2023-09-05,JM2312,1713.0,1676.0,1748.0,1662.0,2784,2023-10-23
2023-09-04,JM2312,1676.5,1644.0,1718.5,1631.5,4046,2023-10-23
2023-09-01,JM2312,1631.0,1554.0,1640.5,1551.0,2913,2023-10-23
2023-08-31,JM2312,1546.0,1526.0,1549.0,1517.5,2190,2023-10-23
2023-08-30,JM2312,1524.0,1473.0,1525.0,1466.5,1816,2023-10-23
2023-08-29,JM2312,1475.0,1507.5,1509.0,1471.5,1994,2023-10-23
2023-08-28,JM2312,1505.5,1526.0,1539.0,1482.0,2575,2023-10-23
2023-08-25,JM2312,1520.0,1507.5,1530.5,1503.5,2223,2023-10-23
2023-08-24,JM2312,1509.5,1527.0,1555.0,1508.0,2893,2023-10-23
2023-08-23,JM2312,1530.5,1491.0,1560.0,1487.5,3416,2023-10-23
2023-08-22,JM2312,1495.5,1454.0,1518.5,1439.0,4053,2023-10-23
2023-08-21,JM2312,1454.0,1426.5,1461.0,1397.0,2669,2023-10-23
2023-08-18,JM2312,1427.5,1416.0,1434.0,1405.5,2824,2023-10-23
2023-08-17,JM2312,1413.5,1391.0,1415.5,1381.0,2272,2023-10-23
2023-08-16,JM2312,1392.5,1418.5,1424.5,1388.5,2566,2023-10-23
2023-08-15,JM2312,1417.0,1419.5,1426.5,1383.5,2556,2023-10-23
2023-08-14,JM2312,1401.0,1422.5,1439.5,1390.0,2665,2023-10-23
2023-08-11,JM2312,1424.5,1409.5,1432.5,1397.0,3048,2023-10-23
2023-08-10,JM2312,1396.0,1414.5,1426.0,1393.0,2474,2023-10-23
2023-08-09,JM2312,1408.5,1375.5,1414.5,1367.0,1824,2023-10-23
2023-08-08,JM2312,1387.5,1416.0,1420.0,1382.0,2469,2023-10-23
2023-08-07,JM2312,1411.0,1418.0,1429.0,1395.0,3396,2023-10-23
2023-08-04,JM2312,1414.5,1406.0,1432.0,1405.0,2178,2023-10-23
2023-08-03,JM2312,1397.0,1447.0,1459.5,1392.5,2482,2023-10-23
2023-08-02,JM2312,1445.5,1440.0,1470.5,1440.0,1598,2023-10-23
2023-08-01,JM2312,1441.5,1416.0,1441.5,1416.0,1588,2023-10-23
2023-07-31,JM2312,1417.0,1410.5,1420.5,1391.0,1614,2023-10-23
2023-07-28,JM2312,1424.0,1424.5,1455.0,1395.5,2823,2023-10-23
2023-07-27,JM2312,1440.0,1458.0,1476.0,1434.0,2147,2023-10-23
2023-07-26,JM2312,1479.0,1438.5,1487.5,1438.0,1988,2023-10-23
2023-07-25,JM2312,1435.5,1434.0,1453.0,1421.5,1467,2023-10-23
2023-07-24,JM2312,1434.0,1469.0,1471.5,1432.0,1082,2023-10-23
2023-07-21,JM2312,1464.0,1485.0,1486.0,1443.0,1443,2023-10-23
2023-07-20,JM2312,1486.5,1464.0,1486.5,1455.5,1923,2023-10-23
2023-07-19,JM2312,1445.5,1463.5,1463.5,1430.0,1637,2023-10-23
2023-07-18,JM2312,1449.0,1398.5,1454.0,1379.0,1596,2023-10-23
2023-07-17,JM2312,1380.5,1431.5,1433.0,1371.5,1288,2023-10-23
2023-07-14,JM2312,1417.0,1394.5,1426.0,1392.5,1284,2023-10-23
2023-07-13,JM2312,1396.0,1392.0,1396.0,1367.5,1383,2023-10-23
2023-07-12,JM2312,1384.5,1357.5,1386.0,1355.5,1077,2023-10-23
2023-07-11,JM2312,1354.5,1324.0,1367.0,1321.0,857,2023-10-23
2023-07-10,JM2312,1320.5,1309.0,1330.5,1309.0,915,2023-10-23
2023-07-07,JM2312,1310.5,1331.5,1343.0,1310.5,555,2023-10-23
2023-07-06,JM2312,1329.5,1313.5,1329.5,1312.0,387,2023-10-23
2023-07-05,JM2312,1309.5,1320.5,1320.5,1302.5,252,2023-10-23
2023-07-04,JM2312,1312.0,1329.5,1347.5,1311.0,582,2023-10-23
2023-07-03,JM2312,1334.0,1386.5,1404.5,1334.0,178,2023-10-23
2023-06-29,JM2312,1354.5,1337.5,1373.0,1337.5,10,2023-10-23
2023-06-21,JM2312,1389.5,1371.5,1391.5,1371.5,10,2023-10-23
2023-06-20,JM2312,1385.0,1389.0,1389.0,1385.0,2,2023-10-23
2023-06-19,JM2312,1395.0,1394.0,1400.0,1385.0,4,2023-10-23
2023-06-16,JM2312,1409.5,1410.0,1417.5,1403.0,6,2023-10-23
2023-06-15,JM2312,1410.5,1369.5,1410.5,1369.5,7,2023-10-23
2023-06-14,JM2312,1352.5,1352.5,1352.5,1352.5,2,2023-10-23
2023-06-13,JM2312,1342.5,1342.5,1342.5,1342.5,1,2023-10-23
2023-06-09,JM2312,1314.0,1317.5,1317.5,1314.0,2,2023-10-23
2023-06-07,JM2312,1342.0,1342.0,1342.0,1342.0,1,2023-10-23
2023-06-05,JM2312,1317.0,1300.5,1317.0,1300.5,3,2023-10-23
2023-06-02,JM2312,1329.5,1282.5,1329.5,1272.5,9,2023-10-23
2023-06-01,JM2312,1299.0,1300.5,1303.0,1299.0,4,2023-10-23
2023-05-31,JM2312,1266.0,1267.0,1288.0,1252.0,6,2023-10-23
2023-05-30,JM2312,1287.0,1287.5,1287.5,1287.0,2,2023-10-23
2023-05-29,JM2312,1280.0,1284.5,1301.5,1280.0,8,2023-10-23
2023-05-26,JM2312,1279.0,1290.0,1290.0,1255.0,5,2023-10-23
2023-05-25,JM2312,1306.0,1330.0,1330.0,1297.0,8,2023-10-23
2023-05-24,JM2312,1301.0,1343.0,1343.0,1301.0,2,2023-10-23
2023-05-23,JM2312,1330.0,1330.0,1330.0,1330.0,1,2023-10-23
2023-05-22,JM2312,1323.0,1350.0,1350.0,1323.0,2,2023-10-23
2023-05-19,JM2312,1380.5,1380.5,1380.5,1380.5,1,2023-10-23
2023-05-10,JM2312,1338.5,1338.5,1338.5,1338.5,1,2023-10-23
2023-05-09,JM2312,1385.5,1390.0,1390.0,1385.5,2,2023-10-23
2023-05-08,JM2312,1378.0,1331.5,1378.0,1315.5,9,2023-10-23
2023-05-05,JM2312,1337.0,1337.0,1337.0,1337.0,1,2023-10-23
2023-05-04,JM2312,1352.0,1354.5,1354.5,1329.5,3,2023-10-23
2023-04-28,JM2312,1390.0,1388.0,1390.0,1320.5,6,2023-10-23
2023-04-27,JM2312,1471.0,1491.0,1491.0,1439.0,17,2023-10-23
2023-04-26,JM2312,1511.5,1502.5,1515.0,1496.0,6,2023-10-23
2023-04-25,JM2312,1526.5,1559.0,1559.0,1526.5,8,2023-10-23
2023-04-21,JM2312,1535.0,1544.5,1544.5,1535.0,2,2023-10-23
2023-04-20,JM2312,1576.5,1604.0,1604.0,1573.5,4,2023-10-23
2023-04-19,JM2312,1621.0,1625.0,1635.0,1618.0,24,2023-10-23
2023-04-18,JM2312,1624.0,1624.0,1624.0,1624.0,1,2023-10-23
2023-04-17,JM2312,1612.0,1610.0,1621.0,1585.0,10,2023-10-23
2023-04-14,JM2312,1600.0,1625.0,1625.0,1600.0,4,2023-10-23
2023-04-13,JM2312,1602.0,1602.0,1602.0,1602.0,3,2023-10-23
2023-04-12,JM2312,1623.0,1628.5,1631.5,1613.5,73,2023-10-23
2023-04-11,JM2312,1618.0,1618.0,1618.0,1618.0,1,2023-10-23
2023-04-10,JM2312,1625.5,1673.5,1673.5,1615.0,3,2023-10-23
2023-04-07,JM2312,1690.5,1672.0,1690.5,1672.0,2,2023-10-23
2023-04-04,JM2312,1725.5,1725.5,1725.5,1725.5,1,2023-10-23
2023-04-03,JM2312,1730.0,1732.0,1732.0,1730.0,5,2023-10-23
2023-03-31,JM2312,1756.5,1758.0,1775.0,1756.5,5,2023-10-23
2023-03-27,JM2312,1769.5,1763.0,1769.5,1763.0,2,2023-10-23
2023-03-23,JM2312,1764.5,1752.5,1767.0,1752.5,4,2023-10-23
2023-03-16,JM2312,1766.0,1790.0,1790.0,1765.5,25,2023-10-23
2023-03-15,JM2312,1793.5,1820.0,1820.0,1793.5,4,2023-10-23
2023-03-14,JM2312,1832.5,1871.0,1871.0,1832.5,2,2023-10-23
2023-03-13,JM2312,1878.0,1862.5,1878.0,1862.5,3,2023-10-23
2023-03-10,JM2312,1860.0,1917.0,1917.0,1856.0,24,2023-10-23
2023-03-09,JM2312,1892.0,1884.0,1892.0,1874.0,9,2023-10-23
2023-03-06,JM2312,1891.0,1891.0,1891.0,1891.0,1,2023-10-23
2023-03-03,JM2312,1902.0,1855.0,1902.0,1841.0,3,2023-10-23
2023-02-28,JM2312,1887.5,1887.5,1887.5,1887.5,1,2023-10-23
2023-02-27,JM2312,1905.0,1905.0,1905.0,1905.0,5,2023-10-23
2023-02-24,JM2312,1878.5,1878.5,1878.5,1878.5,1,2023-10-23
2023-02-23,JM2312,1885.5,1904.5,1908.0,1869.0,9,2023-10-23
2023-02-22,JM2312,1865.0,1835.5,1865.0,1835.5,9,2023-10-23
2023-02-21,JM2312,1847.5,1836.5,1847.5,1835.0,3,2023-10-23
2023-02-20,JM2312,1816.0,1794.5,1816.0,1779.5,15,2023-10-23
2023-02-17,JM2312,1802.0,1799.5,1814.0,1799.5,14,2023-10-23
2023-02-16,JM2312,1799.0,1789.5,1799.0,1783.0,5,2023-10-23
2023-02-15,JM2312,1772.5,1777.0,1791.5,1772.0,11,2023-10-23
2023-02-14,JM2312,1772.0,1733.5,1772.0,1733.5,10,2023-10-23
2023-02-13,JM2312,1735.5,1770.5,1770.5,1735.5,19,2023-10-23
2023-02-09,JM2312,1797.0,1801.5,1802.0,1797.0,13,2023-10-23
2023-02-08,JM2312,1790.5,1790.5,1790.5,1790.5,1,2023-10-23
2023-02-07,JM2312,1763.0,1777.5,1778.0,1760.0,7,2023-10-23
2023-02-06,JM2312,1776.0,1761.0,1776.0,1757.0,7,2023-10-23
2023-02-03,JM2312,1770.5,1742.5,1770.5,1742.5,2,2023-10-23
2023-02-02,JM2312,1764.5,1764.5,1764.5,1764.5,1,2023-10-23
2023-02-01,JM2312,1760.5,1770.0,1770.0,1760.5,6,2023-10-23
2023-01-31,JM2312,1795.5,1795.5,1795.5,1795.5,1,2023-10-23
2023-01-19,JM2312,1830.0,1855.0,1855.0,1824.5,7,2023-10-23
2023-01-18,JM2312,1866.0,1777.0,1866.0,1777.0,2,2023-10-23
2023-01-16,JM2312,1815.5,1824.5,1824.5,1811.0,4,2023-10-23
2023-01-13,JM2312,1831.0,1819.5,1831.0,1819.5,2,2023-10-23
2023-01-12,JM2312,1799.5,1775.5,1799.5,1770.5,4,2023-10-23
2023-01-11,JM2312,1816.0,1785.0,1816.0,1785.0,2,2023-10-23
2023-01-10,JM2312,1774.0,1783.5,1783.5,1774.0,2,2023-10-23
2023-01-09,JM2312,1792.0,1792.0,1792.0,1792.0,1,2023-10-23
2023-01-06,JM2312,1750.0,1756.5,1758.0,1750.0,3,2023-10-23
2023-01-05,JM2312,1749.0,1789.0,1789.0,1734.0,8,2023-10-23
2023-01-04,JM2312,1736.0,1788.5,1788.5,1736.0,5,2023-10-23
2023-01-03,JM2312,1829.0,1810.0,1829.0,1755.0,11,2023-10-23
