future_code,market,future_name,clock,date,open_price,max_price,min_price,close_price,yesterday_price,buy_price,sell_price,newest_price,buy_amount,sell_amount,amount,volume,everage_price
CU2312,DCE,ͭ2312,90059,12/9/2023,68840,68910,68650,0,68960,68830,68840,68830,10,5,4662,64015,68761.793
CU2312,DCE,ͭ2312,90159,12/9/2023,68840,68910,68650,0,68960,68810,68820,68820,15,1,4670,64018,68761.901
CU2312,DCE,ͭ2312,90259,12/9/2023,68840,68910,68650,0,68960,68790,68810,68800,10,10,4708,64009,68762.177
CU2312,DCE,ͭ2312,90359,12/9/2023,68840,68910,68650,0,68960,68780,68800,68780,23,4,4727,64006,68762.295
CU2312,DCE,ͭ2312,90459,12/9/2023,68840,68910,68650,0,68960,68780,68800,68790,24,13,4751,64017,68762.402
CU2312,DCE,ͭ2312,90559,12/9/2023,68840,68910,68650,0,68960,68800,68810,68800,2,19,4768,64005,68762.538
CU2312,DCE,ͭ2312,90659,12/9/2023,68840,68910,68650,0,68960,68780,68800,68800,19,6,4788,64003,68762.713
CU2312,DCE,ͭ2312,90758,12/9/2023,68840,68910,68650,0,68960,68790,68810,68790,25,7,4797,63995,68762.764
CU2312,DCE,ͭ2312,90854,12/9/2023,68840,68910,68650,0,68960,68810,68820,68810,14,8,4808,63994,68762.883
CU2312,DCE,ͭ2312,90959,12/9/2023,68840,68910,68650,0,68960,68780,68790,68800,14,2,4844,63999,68763.179
CU2312,DCE,ͭ2312,91058,12/9/2023,68840,68910,68650,0,68960,68770,68790,68780,21,12,4854,63993,68763.23
CU2312,DCE,ͭ2312,91159,12/9/2023,68840,68910,68650,0,68960,68780,68800,68780,37,4,4862,63999,68763.258
CU2312,DCE,ͭ2312,91259,12/9/2023,68840,68910,68650,0,68960,68800,68810,68790,12,1,4884,64005,68763.385
CU2312,DCE,ͭ2312,91359,12/9/2023,68840,68910,68650,0,68960,68800,68820,68800,45,2,4891,64001,68763.445
CU2312,DCE,ͭ2312,91453,12/9/2023,68840,68910,68650,0,68960,68830,68840,68830,12,3,4923,64029,68763.833
CU2312,DCE,ͭ2312,91555,12/9/2023,68840,68910,68650,0,68960,68830,68840,68830,35,11,4940,64036,68764.079
CU2312,DCE,ͭ2312,91657,12/9/2023,68840,68910,68650,0,68960,68840,68860,68850,19,14,4965,64034,68764.508
CU2312,DCE,ͭ2312,91754,12/9/2023,68840,68910,68650,0,68960,68850,68860,68850,12,3,4974,64034,68764.666
CU2312,DCE,ͭ2312,91855,12/9/2023,68840,68910,68650,0,68960,68850,68860,68860,15,3,4978,64033,68764.741
CU2312,DCE,ͭ2312,91959,12/9/2023,68840,68910,68650,0,68960,68850,68870,68870,3,15,5085,63970,68766.773
CU2312,DCE,ͭ2312,92059,12/9/2023,68840,68910,68650,0,68960,68860,68870,68860,2,15,5115,63964,68767.326
CU2312,DCE,ͭ2312,92159,12/9/2023,68840,68910,68650,0,68960,68860,68880,68870,6,64,5141,63961,68767.814
CU2312,DCE,ͭ2312,92259,12/9/2023,68840,68910,68650,0,68960,68850,68870,68860,6,19,5175,63946,68768.475
CU2312,DCE,ͭ2312,92359,12/9/2023,68840,68910,68650,0,68960,68840,68860,68860,13,17,5177,63946,68768.511
CU2312,DCE,ͭ2312,92459,12/9/2023,68840,68910,68650,0,68960,68850,68870,68860,8,22,5180,63945,68768.566
CU2312,DCE,ͭ2312,92559,12/9/2023,68840,68910,68650,0,68960,68850,68870,68870,10,20,5186,63944,68768.683
CU2312,DCE,ͭ2312,92655,12/9/2023,68840,68910,68650,0,68960,68850,68870,68860,6,32,5201,63929,68768.946
CU2312,DCE,ͭ2312,92758,12/9/2023,68840,68910,68650,0,68960,68840,68860,68850,20,16,5231,63909,68769.442
CU2312,DCE,ͭ2312,92856,12/9/2023,68840,68910,68650,0,68960,68830,68850,68840,25,10,5254,63916,68769.758
CU2312,DCE,ͭ2312,92957,12/9/2023,68840,68910,68650,0,68960,68840,68850,68850,12,8,5258,63918,68769.814
CU2312,DCE,ͭ2312,93058,12/9/2023,68840,68910,68650,0,68960,68810,68830,68820,7,21,5274,63918,68770
CU2312,DCE,ͭ2312,93158,12/9/2023,68840,68910,68650,0,68960,68820,68850,68820,8,33,5320,63905,68770.517
CU2312,DCE,ͭ2312,93259,12/9/2023,68840,68910,68650,0,68960,68820,68850,68840,14,34,5364,63901,68771.05
CU2312,DCE,ͭ2312,93359,12/9/2023,68840,68910,68650,0,68960,68860,68870,68860,12,4,5421,63912,68771.858
CU2312,DCE,ͭ2312,93459,12/9/2023,68840,68910,68650,0,68960,68880,68890,68890,9,1,5505,63933,68773.47
CU2312,DCE,ͭ2312,93559,12/9/2023,68840,68920,68650,0,68960,68880,68910,68900,8,33,5549,63964,68774.487
CU2312,DCE,ͭ2312,93659,12/9/2023,68840,68920,68650,0,68960,68870,68890,68890,18,8,5552,63963,68774.552
CU2312,DCE,ͭ2312,93759,12/9/2023,68840,68920,68650,0,68960,68880,68890,68880,13,13,5563,63962,68774.776
CU2312,DCE,ͭ2312,93859,12/9/2023,68840,68920,68650,0,68960,68870,68880,68870,9,20,5581,63964,68775.116
CU2312,DCE,ͭ2312,93959,12/9/2023,68840,68920,68650,0,68960,68840,68850,68840,8,2,5606,63967,68775.494
CU2312,DCE,ͭ2312,94058,12/9/2023,68840,68920,68650,0,68960,68840,68860,68840,13,8,5628,63978,68775.75
CU2312,DCE,ͭ2312,94155,12/9/2023,68840,68920,68650,0,68960,68850,68870,68850,17,10,5629,63979,68775.763
CU2312,DCE,ͭ2312,94259,12/9/2023,68840,68920,68650,0,68960,68860,68880,68870,16,23,5635,63979,68775.863
CU2312,DCE,ͭ2312,94357,12/9/2023,68840,68920,68650,0,68960,68870,68880,68880,15,25,5638,63980,68775.919
CU2312,DCE,ͭ2312,94458,12/9/2023,68840,68920,68650,0,68960,68850,68870,68880,16,19,5640,63981,68775.956
CU2312,DCE,ͭ2312,94557,12/9/2023,68840,68920,68650,0,68960,68850,68860,68850,6,7,5641,63981,68775.969
CU2312,DCE,ͭ2312,94659,12/9/2023,68840,68920,68650,0,68960,68860,68880,68870,7,25,5646,63979,68776.05
CU2312,DCE,ͭ2312,94757,12/9/2023,68840,68920,68650,0,68960,68870,68880,68870,5,12,5646,63979,68776.05
CU2312,DCE,ͭ2312,94859,12/9/2023,68840,68920,68650,0,68960,68870,68880,68870,21,7,5647,63979,68776.067
CU2312,DCE,ͭ2312,94958,12/9/2023,68840,68920,68650,0,68960,68860,68870,68870,9,14,5656,63982,68776.216
CU2312,DCE,ͭ2312,95056,12/9/2023,68840,68920,68650,0,68960,68860,68880,68870,9,31,5659,63984,68776.266
CU2312,DCE,ͭ2312,95156,12/9/2023,68840,68920,68650,0,68960,68870,68880,68880,2,14,5669,63990,68776.449
CU2312,DCE,ͭ2312,95255,12/9/2023,68840,68920,68650,0,68960,68870,68880,68880,12,31,5669,63990,68776.449
CU2312,DCE,ͭ2312,95359,12/9/2023,68840,68920,68650,0,68960,68850,68860,68860,11,6,5693,64011,68776.828
CU2312,DCE,ͭ2312,95458,12/9/2023,68840,68920,68650,0,68960,68870,68880,68880,10,3,5703,64016,68777.009
CU2312,DCE,ͭ2312,95558,12/9/2023,68840,68920,68650,0,68960,68860,68880,68880,21,8,5706,64019,68777.063
CU2312,DCE,ͭ2312,95659,12/9/2023,68840,68920,68650,0,68960,68850,68860,68860,11,7,5707,64018,68777.077
CU2312,DCE,ͭ2312,95759,12/9/2023,68840,68920,68650,0,68960,68840,68860,68860,21,9,5707,64018,68777.077
CU2312,DCE,ͭ2312,95858,12/9/2023,68840,68920,68650,0,68960,68830,68850,68840,13,13,5709,64019,68777.101
CU2312,DCE,ͭ2312,95959,12/9/2023,68840,68920,68650,0,68960,68850,68860,68850,4,25,5725,64027,68777.305
CU2312,DCE,ͭ2312,100059,12/9/2023,68840,68920,68650,0,68960,68830,68850,68850,15,16,5744,64034,68777.523
CU2312,DCE,ͭ2312,100155,12/9/2023,68840,68920,68650,0,68960,68850,68870,68860,6,29,5765,64033,68777.787
